source,target,value
ECI-4365172644,ACC-98485385,4
ECI-9496722389,ACC-69885938,9
ECI-1351944996,ACC-22285756,3
ECI-4365172644,ACC-76967727,8
ECI-1351944996,ACC-23818854,9
ECI-4365172644,ACC-94443361,1
ECI-1351944996,ACC-37967587,2
ACC-98485385,pos-MYRDA2TI,1
ACC-69885938,pos-1FSVBW0P,4
ACC-22285756,pos-E7UI9IJ2,6
ACC-76967727,pos-DKW9ADKB,8
ACC-23818854,pos-PRQD5UW8,3
ACC-94443361,pos-3AC5B9WO,3
ACC-37967587,pos-2337873W,7
pos-MYRDA2TI,Fac-9861551156,3
pos-1FSVBW0P,Fac-3827384294,9
pos-E7UI9IJ2,Fac-9861551156,8
pos-DKW9ADKB,Fac-9861551156,2
pos-PRQD5UW8,Fac-3827384294,1
pos-3AC5B9WO,Fac-9861551156,8
pos-2337873W,Fac-9861551156,1
Fac-9861551156,obg-AFN8NTCX,6
Fac-3827384294,obg-BH7Q02IU,4
Fac-3827384294,obg-X0D37PBD,5
Fac-9861551156,obg-YA0QOV8L,8
Fac-3827384294,obg-ULJJ0VA3,6
Fac-3827384294,obg-X43RH1C4,5
