source,target,value
ECI-5256327287,ACC-26496364,10
ECI-0323788898,ACC-07916793,1
ECI-1851468426,ACC-23868214,1
ECI-0323788898,ACC-04173269,4
ECI-1851468426,ACC-66216935,1
ECI-0323788898,ACC-76359367,1
ECI-0323788898,ACC-57261993,1
ACC-26496364,pos-P066WFTP,7
ACC-07916793,pos-82HEDW6N,2
ACC-23868214,pos-UBZFCTY9,5
ACC-04173269,pos-FYOTY4ML,2
ACC-66216935,pos-ZZ672G6N,7
ACC-76359367,pos-XMS3BZA0,1
ACC-57261993,pos-M0X5NFAK,6
pos-P066WFTP,Fac-2424632184,4
pos-82HEDW6N,Fac-1391711948,10
pos-UBZFCTY9,Fac-1391711948,8
pos-FYOTY4ML,Fac-1391711948,6
pos-ZZ672G6N,Fac-2424632184,5
pos-XMS3BZA0,Fac-1391711948,9
pos-M0X5NFAK,Fac-2424632184,3
Fac-2424632184,obg-ZN8FGI77,4
Fac-1391711948,obg-4AN6VNRV,6
Fac-1391711948,obg-N8SPNYPO,6
Fac-1391711948,obg-SX8ZDRIO,9
Fac-1391711948,obg-I6Q3GH8X,4
Fac-2424632184,obg-R1HLD3C0,1
